,Weight
1,4.88156379794
Could,4.88156379794
DYK,4.47609868984
Day,4.47609868984
Dealing,4.88156379794
Depression,2.2788741125
Elizabeth,4.88156379794
Etalk,4.88156379794
Etobicoke,4.88156379794
Fight,4.47609868984
FucKDaWorld,4.47609868984
Fucital,4.47609868984
GDRAGON,4.88156379794
GDragon,4.88156379794
Going,4.47609868984
Good,4.88156379794
Google,4.88156379794
Hairless,4.47609868984
Hall,4.88156379794
HarryStylesLiveOnTour,4.88156379794
Health,4.18841661738
Hope,4.47609868984
Identify,4.47609868984
Illness,4.88156379794
Im,4.47609868984
Ink,4.47609868984
Ive,3.96527306607
Join,4.88156379794
Junction,4.47609868984
Kicking,4.47609868984
Krazy,4.47609868984
KwonJiYong,4.88156379794
Landsberg,4.88156379794
Lets,4.88156379794
LetsTalk,4.47609868984
MOTTEACT3,4.88156379794
Margaret,4.88156379794
Massage,4.88156379794
Massey,4.88156379794
MattGSouthern,4.88156379794
Mental,3.78295150928
MentalHealth,4.18841661738
Michael,4.88156379794
MiddleFingersUp,4.88156379794
Montréal,4.88156379794
MyLife,4.47609868984
New,4.18841661738
Newnham,4.47609868984
North,4.47609868984
One,4.88156379794
Ottawa,4.88156379794
PTSD…,4.88156379794
Patients,4.88156379794
Payne,4.88156379794
Pilots,4.88156379794
Pissed,4.88156379794
Poetry,4.88156379794
Postconcert,4.88156379794
Prince,4.88156379794
QA,4.88156379794
RelaxHER,4.47609868984
Repost,4.47609868984
Res,4.47609868984
Research,4.88156379794
Results,4.88156379794
Scarborough,4.47609868984
Screening,4.88156379794
Search,4.88156379794
Seneca,4.47609868984
Serious,4.47609868984
Since…,4.47609868984
Small,4.47609868984
Square,4.88156379794
StatsCan,4.88156379794
Story,4.88156379794
THURSDAY,4.88156379794
TRUTH,4.88156379794
Thornhill,4.88156379794
Today,3.96527306607
Tool,4.88156379794
Toronto,4.88156379794
Tour,4.88156379794
Trudeau,4.88156379794
TrueStory,4.47609868984
VLOG,4.88156379794
Vanier,4.88156379794
WHO…,4.47609868984
WORTH…,4.88156379794
Weather,4.47609868984
Well,4.47609868984
Whats,4.88156379794
WhoKilledTomThomson,4.47609868984
Wild,4.88156379794
William,4.88156379794
World,4.18841661738
WorldHealthDay,3.96527306607
Would,4.47609868984
York,4.47609868984
ZackMorrisO4L,4.47609868984
able,4.88156379794
activity,4.88156379794
actor…,4.88156379794
ad,4.47609868984
afraid,4.47609868984
alcohol,4.88156379794
alllivesmatter,4.88156379794
alternative,4.18841661738
always,3.96527306607
and…,4.47609868984
anger,4.88156379794
anxiety,3.08980432872
anybody,4.47609868984
ask,4.47609868984
ass,4.47609868984
audioBoom,4.88156379794
a…,4.88156379794
bad,4.88156379794
battle,4.88156379794
battled,4.47609868984
battles,4.88156379794
bear,4.88156379794
beauty,4.47609868984
beautyinthestruggle,4.88156379794
belief,4.88156379794
bi,4.47609868984
bipolar…,4.88156379794
bitch,4.88156379794
blackandwhite…,4.47609868984
bpd,4.88156379794
break,4.47609868984
breakfast,4.47609868984
breakthrough,4.88156379794
broken,4.88156379794
bullying,4.88156379794
bus,4.47609868984
cabin,4.88156379794
called,4.88156379794
camh,4.88156379794
cancer,4.88156379794
cant,4.88156379794
cases,4.47609868984
cause,4.47609868984
change,4.88156379794
childhood,4.47609868984
children,4.88156379794
clearly,4.88156379794
colors,4.47609868984
come,4.88156379794
commit,4.47609868984
common,4.88156379794
complex,4.88156379794
concert,4.47609868984
constantly,4.47609868984
conversation,4.88156379794
cream,4.47609868984
crushes,4.88156379794
culinarychronic,4.88156379794
cure,4.47609868984
cut,4.88156379794
day,4.47609868984
days,4.47609868984
dealing,4.88156379794
definitely,4.47609868984
demi,4.88156379794
depressed,4.18841661738
depression,1.35520327333
depression…,4.18841661738
diagnosis,4.88156379794
die,4.88156379794
difdroyal…,4.88156379794
difficult,4.88156379794
disability…,4.47609868984
disorder,4.47609868984
djgimports,4.88156379794
djglifestyle,4.88156379794
doesnt,4.88156379794
doing…,4.47609868984
dont,4.88156379794
dontjudge,4.88156379794
doodle,4.47609868984
doodling,4.47609868984
dramatic…,4.88156379794
drastic,4.47609868984
drugs,4.88156379794
dépression,4.88156379794
eating,4.88156379794
education,4.88156379794
egg,4.47609868984
else,4.47609868984
elusive…,4.47609868984
en,4.88156379794
enjoy,4.47609868984
entrepreneurlife,4.88156379794
est,4.88156379794
etobicoke,4.88156379794
exactly,4.47609868984
experienced,4.88156379794
experiences,4.88156379794
face,4.47609868984
featured,4.47609868984
feeling,4.47609868984
felt,3.96527306607
fever,4.88156379794
film,4.88156379794
filmlife,4.88156379794
finds,4.88156379794
fit,4.47609868984
fortitude,4.88156379794
fortunate…,4.47609868984
friday,4.88156379794
friends,4.88156379794
frustrating,4.47609868984
fueling,4.88156379794
fun,4.47609868984
funny,4.47609868984
funny…,4.47609868984
gay,4.47609868984
gaychub,4.47609868984
going,4.47609868984
gomez,4.88156379794
good,4.47609868984
grateful,4.88156379794
haircut,4.47609868984
hang,4.88156379794
happen,4.47609868984
hard,3.96527306607
healing,4.88156379794
health,4.18841661738
help,3.78295150928
hertZ,4.88156379794
hinted…,4.88156379794
hit,4.88156379794
hits,4.88156379794
home,4.88156379794
hospital,4.88156379794
httpbitly2knsCFr,4.88156379794
httpbitly2wQnPm5,4.88156379794
httpcbcca13940621,4.88156379794
httpifttt2n7jIdt,4.88156379794
httpottawacitizencomhealthmenqandatsnsmichaellandsbergonthedeepholeofdepression,4.88156379794
httpottawacitizencomnewslocalnewsbiggestbreakthroughsinceantidepressantsisturninglivesaroundinottawa,4.88156379794
httpowly6dXE30aZC5y,4.88156379794
httpowlyx99h308iyVq,4.88156379794
httpsaudioboomcomposts5536383bellletstalkbrandingmentalillness,4.88156379794
httpstwittercomiwebstatus824230430274686976,4.88156379794
httpstwittercomiwebstatus824331235535310848,4.88156379794
httpswwwinstagramcompBO2z1fSjP0e,4.47609868984
httpswwwinstagramcompBO7MD7llfwe,4.88156379794
httpswwwinstagramcompBPoKxcA9I9,4.47609868984
httpswwwinstagramcompBPsClCajAzuZCGG1gFGKzNUrhchUJ9Cvz7z8o0,4.88156379794
httpswwwinstagramcompBPsXlM8DmNS,4.47609868984
httpswwwinstagramcompBPsYZYGBDko,4.47609868984
httpswwwinstagramcompBPsr8zYDAQR,4.88156379794
httpswwwinstagramcompBPtAoCcBhE2,4.88156379794
httpswwwinstagramcompBR7IQOvASFS,4.88156379794
httpswwwinstagramcompBRCtu0AA0L0,4.88156379794
httpswwwinstagramcompBRG4j37FCG,4.47609868984
httpswwwinstagramcompBRuII63AV,4.47609868984
httpswwwinstagramcompBSH7vOqgYhF,4.47609868984
httpswwwinstagramcompBScnAbTlRQW,4.88156379794
httpswwwinstagramcompBSl1F5nhIQl,4.47609868984
httpswwwinstagramcompBSl4QDtFQ2d,4.47609868984
httpswwwinstagramcompBSmD6XNgVM,4.88156379794
httpswwwinstagramcompBSr7WfIgesE,4.88156379794
httpswwwinstagramcompBT47mX6geKz,4.88156379794
httpswwwinstagramcompBTFlCz3huQY,4.88156379794
httpswwwinstagramcompBTIS4GKhNLT,4.88156379794
httpswwwinstagramcompBTo7NxSgCxO,4.88156379794
httpswwwinstagramcompBTrQT4jbWc,4.47609868984
httpswwwinstagramcompBTsQLEYDnkA,4.47609868984
httpswwwinstagramcompBTucVFlaKA,4.88156379794
httpswwwinstagramcompBU1Pj4RDR9k,4.88156379794
httpswwwinstagramcompBUA7c6bAktb9MKtaj2QD3uN816N4MfuPuuYGo0,4.88156379794
httpswwwinstagramcompBUP3pUlSzu,4.88156379794
httpswwwinstagramcompBUmPdLg3i2,4.88156379794
httpswwwinstagramcompBUwiw7EAWAa,4.88156379794
httpswwwinstagramcompBV0IogEAPej,4.88156379794
httpswwwinstagramcompBVTBbKegDTk,4.88156379794
httpswwwinstagramcompBVXTwzaF9Dk,4.88156379794
httpswwwinstagramcompBVdDWTOF5Tl,4.88156379794
httpswwwinstagramcompBVq23h9H39B,4.47609868984
httpswwwinstagramcompBW5d0kenhXm,4.88156379794
httpswwwinstagramcompBW952HnF56C,4.88156379794
httpswwwinstagramcompBWgyQG2hwRi,4.47609868984
httpswwwinstagramcompBWu87a1gaPR,4.88156379794
httpswwwinstagramcompBXD0cjqBuM5,4.47609868984
