"fullname","id","likes","replies","retweets","text","timestamp","user"
"Bennett","824108673215696897","0","0","0","Getting my #BBT fix...the addiction is real! . . #bubbletea #boba #genmaicha #basilseeds… https://www.instagram.com/p/BPrHFyAAGah/ ","2017-01-25T04:16:33","bennettchin"
"nina.","826857234814627840","1","0","0","- once you start seeing results it becomes a addiction - @ Ottawa, Ontario https://www.instagram.com/p/BP-o_zEgMLB/ ","2017-02-01T18:18:21","rendubs"
"Ottawa Now","833448231078023168","0","0","0","At 6: a father's plea. A Kanata dad speaks out about his daughter's struggle with drug addiction in the hopes of… http://toplocalnow.com/ca/ottawa ","2017-02-19T22:48:37","OttawaCP"
"Ottawa Now","834813877313343488","0","0","0","An Ottawa teen talks about the struggle of drug addiction & the current debate about rehab:… https://twitter.com/i/web/status/834808805133164545 …","2017-02-23T17:15:13","OttawaCP"
"Ottawa Now","837369186716270592","0","0","0","Sen. Vern White says rich can afford addiction treatment, poor get little help. Let's change that Senca opioids http://ottawacitizen.com/opinion/columnists/white-the-addiction-crisis-means-the-rich-get-treatment-the-poor-go-to-jail-or-die/ …","2017-03-02T18:29:06","OttawaCP"
"Ottawa Now","837466950548611073","0","0","0","The addiction crisis means the rich get treatment, the poor go to jail or die http://toplocalnow.com/ca/ottawa/at/19 ","2017-03-03T00:57:35","OttawaCP"
"Justin Poitras","843482761029713920","1","0","0","Everyone has an addiction, mine just happens to be you … https://www.instagram.com/p/BR0xaS9g_G6w2w0B_0ST1KcRLW4rYo4LxWzUX40/ …","2017-03-19T15:22:16","Poitras18"
"Ottawa Now","852665618511810561","0","0","0","Legalize cannabis, but don't advertise it, write staff from the Centre for Addiction and Mental Health http://ow.ly/Tvop30aQAyI ","2017-04-13T23:31:39","OttawaCP"
"Ottawa Now","855761630356848641","0","0","0","‘These drugs are killing our kids’: Why teen brains are more vulnerable to fentanyl and opioid addiction… https://twitter.com/i/web/status/855755606669631488 …","2017-04-22T12:34:06","OttawaCP"
"TYR ONE","859744866246549504","0","0","0","Plans in my soul of addiction for now... . . . . . . . . #toptyr #ottawa #ontario #canada… https://www.instagram.com/p/BToUjzpFraz/ ","2017-05-03T12:22:04","TYR_ONE613"
"John Day","864086616419315712","0","0","0","My new addiction Morning Goat by @btpbrewing full of amazing coffee, adding to the aroma and… https://www.instagram.com/p/BUHK9c4A7b3/ ","2017-05-15T11:54:37","JohnPepsDay"
"Ottawa Now","867365110242619392","0","0","0","After 5 overdoses, Ottawa teen fights against opioid addiction. Part 2 of ""High Stakes:"" https://twitter.com/i/web/status/867350739340767233 …","2017-05-24T13:02:11","OttawaCP"
"Ottawa Now","872118159804833792","0","0","0","Researchers say love addiction is real and a break-up pill could be available in the not-too-distant future.… https://twitter.com/i/web/status/872106104540495872 …","2017-06-06T15:49:07","OttawaCP"
"Ottawa Now","882189174006177792","0","0","0","Services coming for teens in west Ottawa with drug addiction ottnews ottawa http://ift.tt/2slqiQb ","2017-07-04T10:47:44","OttawaCP"
"Ottawa Now","908050925343858688","0","0","0","JP and Sue battled drug addiction for years, now they're helping others stay safe on the streets… http://toplocalnow.com/ca/ottawa/at/15#t7872204 …","2017-09-13T19:33:06","OttawaCP"
"FoodPages.ca","912798962750332928","1","0","0","#Club Addiction #Somerset #Gatineau http://foodpages.ca/clubaddiction.rate … olderpic.twitter.com/zkuiZoNdlH","2017-09-26T22:00:06","foodpages"
